eps1	q	p	epsv
7.232377587	454.5749215	327.2874608	-3.463312598
7.284336033	453.476882	326.738441	-3.495976678
7.345266431	453.7719494	326.8859747	-3.531401103
7.390717747	453.1930304	326.5965152	-3.564525241
7.445535387	452.4065305	326.2032653	-3.597649378
7.503015034	451.9283795	325.9641898	-3.631693631
7.549649465	451.5298827	325.7649414	-3.665277826
7.603382583	451.4512422	325.7256211	-3.699322078
7.652580429	451.2366539	325.618327	-3.732446216
7.708383997	450.7028822	325.3514411	-3.766490468
7.763004451	450.2883207	325.1441604	-3.798694491
7.814075562	450.0043845	325.0021923	-3.832738743
7.867019937	449.0040685	324.5020343	-3.866322938
7.917795268	448.061855	324.0309275	-3.89852696
7.967781857	447.478707	323.7393535	-3.930730983
8.02545869	447.1983827	323.5991914	-3.962474948
8.073572014	446.3240953	323.1620477	-3.995599086
8.128882618	445.8532657	322.9266329	-4.027803108
8.194939846	445.2123962	322.6061981	-4.059547073
8.239996791	444.6759167	322.3379584	-4.090830981
8.295603173	444.373031	322.1865155	-4.123035004
8.347068655	443.9383493	321.9691747	-4.155239026
8.411055432	442.6524033	321.3262017	-4.185602819
8.466168851	442.2273481	321.1136741	-4.217346784
8.512507503	441.3723475	320.6861738	-4.247710577
8.569297	441.6412893	320.8206447	-4.279454542
8.614649723	440.0836984	320.0418492	-4.309818334
8.66867862	439.3595279	319.679764	-4.340642185
8.726454046	438.5107942	319.2553971	-4.37054592
8.777229378	438.0400321	319.0200161	-4.399989598
8.835892139	437.6291321	318.8145661	-4.430813448
8.88696325	436.6602654	318.3301327	-4.459797068
8.945034454	435.9542573	317.9771287	-4.490160861
8.996598529	435.4482247	317.7241124	-4.520064596
9.040965324	434.793063	317.3965315	-4.548588159
9.097557635	433.9557299	316.977865	-4.576651664
9.15119216	433.6467285	316.8233643	-4.606555399
9.197037848	433.5465638	316.7732819	-4.636919192
9.249686445	432.481895	316.2409475	-4.665902813
9.304109713	430.9967721	315.4983861	-4.693966318
9.356856902	429.3150231	314.6575116	-4.720649651
9.412167506	428.3958919	314.197946	-4.748713156
9.46609781	428.081138	314.040569	-4.776776662
9.518746406	427.7016094	313.8508047	-4.802999937
9.574648567	427.3561631	313.6780816	-4.830603385
9.626902792	426.9967717	313.4983859	-4.858206833
9.683692289	425.9372943	312.9686472	-4.885350223
9.730228127	425.1657677	312.5828839	-4.911573499
9.777454115	424.0053152	312.0026576	-4.938716889
9.829313969	423.6382609	311.8191305	-4.965400222
9.897047275	423.0290079	311.514504	-4.99116344
9.948907129	421.8265743	310.9132872	-5.016466601
9.996133117	421.4007343	310.7003672	-5.042229819
10.05335642	420.8799083	310.4399542	-5.068453095
10.10436838	420.0114042	310.0057021	-5.093756255
10.15886066	418.6576236	309.3288118	-5.118139301
10.20706272	418.617593	309.3087965	-5.143902519
10.25818312	417.6738231	308.8369116	-5.169205679
10.31215287	417.4790015	308.7395008	-5.194048783
10.3609169	416.4991446	308.2495723	-5.217971771
10.41391057	416.559137	308.2795685	-5.244195046
10.46796905	415.4053293	307.7026647	-5.26719792
10.52759802	415.1256551	307.5628276	-5.293421195
10.57720996	413.2286309	306.6143155	-5.315043896
10.62745289	412.864115	306.4320575	-5.338966884
10.68018036	412.2939586	306.1469793	-5.36334993
10.7288951	411.4308621	305.7154311	-5.386812861
10.78236201	411.2716025	305.6358013	-5.409815734
10.83008097	409.7495094	304.8747547	-5.43235855
10.8850465	409.2043972	304.6021986	-5.456281538
10.94569098	408.3546679	304.177334	-5.476984124
11.00060721	407.9272223	303.9636112	-5.498606825
11.05151071	407.0895151	303.5447576	-5.520229525
11.10140857	406.9061321	303.4530661	-5.542312284
11.156591	406.3125822	303.1562911	-5.565315157
11.22070595	405.7740036	302.8870018	-5.587397915
11.28091662	404.4939067	302.2469534	-5.608560559
11.33091306	403.6891738	301.8445869	-5.629723202
11.37783341	403.2135651	301.6067826	-5.650425788
11.43052145	402.0700017	301.0350009	-5.669748202
11.48631516	401.4757836	300.7378918	-5.691370903
11.53192422	400.7679727	300.3839864	-5.711153374
11.5829066	400.1394529	300.0697265	-5.731855959
11.63656084	398.5707979	299.285399	-5.751178373
11.69050101	397.6133328	298.8066664	-5.769580672
11.74064534	397.6998714	298.8499357	-5.789363143
11.7927221	397.6525663	298.8262832	-5.810065729
11.8528046	395.9468437	297.9734219	-5.829388142
11.90258414	394.7730271	297.3865136	-5.846870326
11.96438216	394.6154175	297.3077088	-5.867572912
12.0194167	394.4024623	297.2012312	-5.886895325
12.06478914	392.8404147	296.4202074	-5.905297624
12.12470404	391.7750353	295.8875177	-5.923239865
12.17966957	391.4712048	295.7356024	-5.941182106
12.22551525	390.6435789	295.3217895	-5.959124347
12.27422013	388.8806305	294.4403153	-5.976606531
12.32982652	388.9574736	294.4787368	-5.99500883
12.38937661	387.8331888	293.9165944	-6.012491013
12.43975757	387.8447215	293.9223608	-6.030433254
12.48806808	386.6628856	293.3314428	-6.046995323
12.54584351	386.561195	293.2805975	-6.064477507
12.59918226	386.8681633	293.4340817	-6.081959691
12.65409849	385.9097899	292.954895	-6.097601644
12.70467664	385.6227858	292.8113929	-6.115083828
12.75614212	385.6962864	292.8481432	-6.133026069
12.80800197	385.0070797	292.5035399	-6.15280854
12.86143931	383.4465929	291.7232965	-6.168450494
12.90836952	382.6851107	291.3425554	-6.185932678
12.95835611	382.1186925	291.0593463	-6.201574631
13.01277938	381.3977159	290.698858	-6.217676643
13.07439992	381.1697283	290.5848642	-6.232858539
13.12438651	380.4899503	290.2449752	-6.249420608
13.17871119	378.9908679	289.495434	-6.263682389
13.23520491	378.7000774	289.3500387	-6.280244458
13.2893324	377.5276993	288.7638497	-6.295426354
13.33981195	376.7783559	288.389178	-6.311068308
13.38802387	376.4203782	288.2101891	-6.325790147
13.4429401	375.4639796	287.7319898	-6.340511986
13.50170145	374.5347634	287.2673817	-6.355693882
13.55454724	373.2456895	286.6228448	-6.369495606
13.602069	372.6173622	286.3086811	-6.382837273
13.6505767	372.5278517	286.2639259	-6.397099054
13.70707042	371.7684	285.8842	-6.411820893
13.75843731	370.1488756	285.0744378	-6.424242445
13.81098731	370.7240752	285.3620376	-6.439424341
13.87103037	369.016787	284.5083935	-6.45230595
13.9204254	368.5059674	284.2529837	-6.466567731
13.97455289	367.5868545	283.7934273	-6.478529226
14.02651134	366.8403986	283.4201993	-6.49233095
14.08487832	366.3328639	283.166432	-6.505672616
14.13999174	366.1430658	283.0715329	-6.518094168
14.18879521	365.7547916	282.8773958	-6.530055662
14.23907758	365.275274	282.637637	-6.543397328
14.2955713	365.6279378	282.8139689	-6.55581888
14.34447337	364.7131131	282.3565566	-6.570080661
14.39771352	363.7135981	281.8567991	-6.5848025
14.45824955	362.8202708	281.4101354	-6.598144167
14.51158829	361.7763202	280.8881601	-6.611485833
14.56334955	361.8500771	280.9250386	-6.623907385
14.61609674	361.2031029	280.6015515	-6.637249051
14.66982986	360.8189844	280.4094922	-6.649210545
14.72198549	360.6259877	280.3129939	-6.662552212
14.7731552	359.6214425	279.8107213	-6.674513706
14.82383194	358.8594951	279.4297476	-6.6864752
14.87017059	357.9705008	278.9852504	-6.696596464
14.92873476	356.9364595	278.4682298	-6.709018016
14.98148195	356.7909851	278.3954926	-6.72097951
15.03422913	356.4371658	278.2185829	-6.732480946
15.08421572	356.4968363	278.2484182	-6.744902498
15.14258271	355.8017262	277.9008631	-6.756403935
15.1993722	354.79486	277.39743	-6.768365429
15.24945739	354.3322849	277.1661425	-6.779406808
15.30979623	353.928108	276.964054	-6.790448187
15.36076874	353.2809429	276.6404715	-6.801949624
15.41036096	352.30458	276.15229	-6.814831233
15.47138995	351.3570766	275.6785383	-6.824492439
15.5191089	351.204119	275.6020595	-6.836913991
15.56633489	350.7534567	275.3767284	-6.846575198
15.61415244	350.3595839	275.179792	-6.855776347
15.67094193	350.0246011	275.0123006	-6.866357669
15.72161867	349.5333533	274.7666767	-6.875558818
15.78126736	347.7437126	273.8718563	-6.885220025
15.83145114	348.0733102	274.0366551	-6.893961117
15.88478989	347.6395626	273.8197813	-6.904542438
15.9399033	345.877426	272.938713	-6.912823473
15.99205894	346.9865521	273.4932761	-6.922944737
16.04963718	346.278095	273.1390475	-6.931685829
16.10129984	345.6787857	272.8393929	-6.940886978
16.16449788	345.0381821	272.5190911	-6.950548185
16.218231	345.6186368	272.8093184	-6.960209392
16.26930211	344.495104	272.247552	-6.967570311
16.32826065	343.3134926	271.6567463	-6.974471173
16.38002191	342.3670127	271.1835064	-6.98413238
16.4286282	342.6197293	271.3098647	-6.993793587
16.47496685	342.7833221	271.3916611	-7.002994736
16.53402398	341.6043364	270.8021682	-7.012195885
16.57927811	341.0456458	270.5228229	-7.02047692
16.63054641	341.3021979	270.651099	-7.029678069
16.68516686	340.426879	270.2134395	-7.038879218
16.74540711	340.3720328	270.1860164	-7.04762031
16.80298535	338.6317732	269.3158866	-7.054521172
16.84676059	339.3842998	269.6921499	-7.063722321
16.89802888	338.8681806	269.4340903	-7.071543298
16.94969155	338.5185639	269.259282	-7.079824333
17.0001711	338.1486968	269.0743484	-7.087185252
17.06603115	338.5283083	269.2641542	-7.095926344
17.11739803	338.2713808	269.1356904	-7.104207378
17.17103256	338.2315679	269.115784	-7.112028355
17.21993463	337.9115576	268.9557788	-7.121229505
17.27396352	337.5470718	268.7735359	-7.129050481
17.32858398	336.2309298	268.1154649	-7.137791573
17.38596503	335.782423	267.8912115	-7.146072608
17.43506428	336.0527967	268.0263984	-7.152513412
17.48692414	334.5549416	267.2774708	-7.161254504
17.53819243	334.621878	267.310939	-7.169535538
17.59330585	334.8809709	267.4404855	-7.17827663
17.64447556	333.5175917	266.7587959	-7.186097607
17.69801149	333.4578579	266.728929	-7.193918584
17.75095586	332.6975961	266.3487981	-7.201279503
17.80202697	332.0251609	266.0125805	-7.207720308
17.85526713	331.6411268	265.8205634	-7.215081227
17.90801432	330.7125676	265.3562838	-7.221522032
17.96746582	330.7701438	265.3850719	-7.228882951
18.01883271	330.4459154	265.2229577	-7.235323756
18.06684744	330.1408807	265.0704404	-7.242224618
18.12324257	329.3278246	264.6639123	-7.247745307
18.17648272	330.2112488	265.1056244	-7.256026342
18.22992006	329.5629845	264.7814923	-7.261547031
18.28187851	328.5654257	264.2827129	-7.267987836
18.33492147	327.6725898	263.8362949	-7.273048468
18.39180956	327.4150611	263.7075306	-7.2781091
18.44268349	328.2632609	264.1316305	-7.286390135
