            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    1.56594e+002    7.80226e+002    6.99892e+002    5.54263e+002    2.25962e+002    1.45628e+002    1.72406e+002    8.03342e+001    9.93268e-002
    1.58672e+002    7.80879e+002    6.99873e+002    5.54956e+002    2.25923e+002    1.44917e+002    1.71919e+002    8.10057e+001    1.01333e-001
    1.60687e+002    7.81419e+002    7.00030e+002    5.55566e+002    2.25853e+002    1.44464e+002    1.71594e+002    8.13887e+001    1.02337e-001
    1.62766e+002    7.82025e+002    6.99882e+002    5.56185e+002    2.25840e+002    1.43698e+002    1.71078e+002    8.21425e+001    1.04343e-001
    1.64781e+002    7.82657e+002    6.99938e+002    5.56804e+002    2.25853e+002    1.43134e+002    1.70707e+002    8.27192e+001    1.06350e-001
    1.66859e+002    7.83235e+002    6.99864e+002    5.57404e+002    2.25831e+002    1.42460e+002    1.70250e+002    8.33708e+001    1.08356e-001
    1.68891e+002    7.83711e+002    6.99993e+002    5.57949e+002    2.25762e+002    1.42044e+002    1.69950e+002    8.37178e+001    1.09360e-001
    1.70953e+002    7.84283e+002    6.99929e+002    5.58559e+002    2.25724e+002    1.41370e+002    1.69488e+002    8.43544e+001    1.11366e-001
    1.72969e+002    7.84808e+002    6.99910e+002    5.59132e+002    2.25677e+002    1.40779e+002    1.69078e+002    8.48981e+001    1.12370e-001
    1.74984e+002    7.85250e+002    6.99836e+002    5.59769e+002    2.25481e+002    1.40067e+002    1.68539e+002    8.54139e+001    1.14376e-001
    1.77062e+002    7.85744e+002    6.99901e+002    5.60286e+002    2.25458e+002    1.39615e+002    1.68229e+002    8.58430e+001    1.16383e-001
    1.79094e+002    7.86211e+002    6.99910e+002    5.60877e+002    2.25333e+002    1.39033e+002    1.67800e+002    8.63003e+001    1.18390e-001
    1.81187e+002    7.86762e+002    6.99919e+002    5.61404e+002    2.25358e+002    1.38515e+002    1.67463e+002    8.68429e+001    1.19393e-001
    1.83266e+002    7.87328e+002    6.99882e+002    5.61949e+002    2.25379e+002    1.37934e+002    1.67082e+002    8.74452e+001    1.21399e-001
    1.85281e+002    7.87743e+002    6.99984e+002    5.62439e+002    2.25305e+002    1.37545e+002    1.66799e+002    8.77594e+001    1.23406e-001
    1.87359e+002    7.88191e+002    6.99947e+002    5.63030e+002    2.25161e+002    1.36917e+002    1.66332e+002    8.82442e+001    1.25413e-001
    1.89375e+002    7.88776e+002    6.99864e+002    5.63519e+002    2.25256e+002    1.36345e+002    1.65982e+002    8.89114e+001    1.26416e-001
    1.91391e+002    7.89248e+002    6.99910e+002    5.64101e+002    2.25146e+002    1.35809e+002    1.65588e+002    8.93375e+001    1.28423e-001
    1.93500e+002    7.89689e+002    6.99855e+002    5.64591e+002    2.25098e+002    1.35264e+002    1.65209e+002    8.98340e+001    1.30429e-001
    1.95562e+002    7.90068e+002    6.99892e+002    5.65154e+002    2.24913e+002    1.34737e+002    1.64796e+002    9.01760e+001    1.32436e-001
    1.97578e+002    7.90580e+002    6.99818e+002    5.65616e+002    2.24964e+002    1.34202e+002    1.64456e+002    9.07621e+001    1.33439e-001
    1.99656e+002    7.90997e+002    6.99929e+002    5.66124e+002    2.24873e+002    1.33804e+002    1.64161e+002    9.10686e+001    1.35446e-001
    2.01672e+002    7.91361e+002    6.99873e+002    5.66669e+002    2.24692e+002    1.33204e+002    1.63700e+002    9.14875e+001    1.37452e-001
    2.03656e+002    7.91850e+002    6.99882e+002    5.67187e+002    2.24664e+002    1.32696e+002    1.63352e+002    9.19676e+001    1.38456e-001
    2.05687e+002    7.92277e+002    6.99984e+002    5.67658e+002    2.24619e+002    1.32326e+002    1.63091e+002    9.22927e+001    1.40462e-001
    2.07766e+002    7.92709e+002    6.99966e+002    5.68203e+002    2.24506e+002    1.31763e+002    1.62677e+002    9.27431e+001    1.42469e-001
    2.09781e+002    7.93052e+002    6.99855e+002    5.68665e+002    2.24388e+002    1.31190e+002    1.62256e+002    9.31974e+001    1.44475e-001
    2.11875e+002    7.93487e+002    6.99956e+002    5.69173e+002    2.24314e+002    1.30784e+002    1.61961e+002    9.35306e+001    1.45479e-001
    2.13891e+002    7.93852e+002    6.99910e+002    5.69681e+002    2.24171e+002    1.30230e+002    1.61543e+002    9.39418e+001    1.47485e-001
    2.16000e+002    7.94295e+002    6.99892e+002    5.70143e+002    2.24153e+002    1.29749e+002    1.61217e+002    9.44037e+001    1.49492e-001
    2.18062e+002    7.94605e+002    6.99836e+002    5.70577e+002    2.24028e+002    1.29260e+002    1.60849e+002    9.47685e+001    1.50495e-001
    2.20094e+002    7.95017e+002    6.99966e+002    5.71103e+002    2.23914e+002    1.28862e+002    1.60546e+002    9.50519e+001    1.52502e-001
    2.22187e+002    7.95397e+002    6.99919e+002    5.71556e+002    2.23841e+002    1.28364e+002    1.60190e+002    9.54778e+001    1.54508e-001
    2.24266e+002    7.95730e+002    6.99901e+002    5.72036e+002    2.23694e+002    1.27865e+002    1.59808e+002    9.58292e+001    1.56515e-001
    2.26281e+002    7.96058e+002    6.99873e+002    5.72489e+002    2.23569e+002    1.27384e+002    1.59446e+002    9.61849e+001    1.58522e-001
    2.28391e+002    7.96438e+002    6.99910e+002    5.72988e+002    2.23450e+002    1.26923e+002    1.59098e+002    9.65276e+001    1.59525e-001
    2.30469e+002    7.96827e+002    6.99984e+002    5.73505e+002    2.23322e+002    1.26479e+002    1.58760e+002    9.68426e+001    1.61531e-001
    2.32484e+002    7.97177e+002    6.99892e+002    5.73874e+002    2.23302e+002    1.26017e+002    1.58446e+002    9.72849e+001    1.63538e-001
    2.34562e+002    7.97464e+002    6.99910e+002    5.74355e+002    2.23109e+002    1.25555e+002    1.58073e+002    9.75540e+001    1.65545e-001
    2.36578e+002    7.97869e+002    6.99919e+002    5.74743e+002    2.23126e+002    1.25177e+002    1.57827e+002    9.79495e+001    1.66548e-001
    2.38594e+002    7.98135e+002    6.99966e+002    5.75177e+002    2.22958e+002    1.24789e+002    1.57512e+002    9.81698e+001    1.68555e-001
    2.40656e+002    7.98504e+002    6.99855e+002    5.75666e+002    2.22838e+002    1.24188e+002    1.57072e+002    9.86495e+001    1.70561e-001
    2.42687e+002    7.98696e+002    6.99938e+002    5.75981e+002    2.22716e+002    1.23957e+002    1.56877e+002    9.87583e+001    1.72568e-001
    2.44781e+002    7.99032e+002    6.99873e+002    5.76461e+002    2.22571e+002    1.23412e+002    1.56465e+002    9.91590e+001    1.74574e-001
    2.46859e+002    7.99264e+002    6.99947e+002    5.76877e+002    2.22387e+002    1.23071e+002    1.56176e+002    9.93169e+001    1.75578e-001
    2.48875e+002    7.99501e+002    6.99929e+002    5.77255e+002    2.22246e+002    1.22673e+002    1.55864e+002    9.95728e+001    1.77584e-001
    2.50953e+002    7.99828e+002    6.99910e+002    5.77680e+002    2.22147e+002    1.22230e+002    1.55536e+002    9.99175e+001    1.78588e-001
    2.52969e+002    8.00094e+002    6.99846e+002    5.78068e+002    2.22026e+002    1.21777e+002    1.55194e+002    1.00249e+002    1.80594e-001
    2.54984e+002    8.00346e+002    6.99827e+002    5.78438e+002    2.21909e+002    1.21390e+002    1.54896e+002    1.00519e+002    1.82601e-001
